,text,label
0,"Hello, I am selling my 2008 Toyota Yaris with CA clean title (Tags and reg are current) in GREAT and running condition -Blows cold A/c and warm heater -Just changed the Oil & filter",1
1,"Call Now - Experience the comforts of home at Metro 77 & 85 in San Leandro, California. Choose one of our spacious floor plans, which allow for ultimate privacy located in a secure setting with video surveillance. We offer studios, one, two and three bedroom apartment homes, with private balcony/patios. We feature built-in G.E./Hotpoint electric appliances, plenty of natural light, walk-in closets and cable-ready units. We have a convenient laundry room and additional storage is available. Call us today! Metro 77 & 85 are located minutes away from downtown San Leandro. Walk to restaurants, shopping & weekly farmer's market. A lovely, quiet garden setting with private patios overlooking a sparkling swimming pool. Features: High Speed Internet Access, Stainless Steel Appliances, Smoke Free, Large Spacious Units, Heating, Cable Ready, Walk-In Closets, Dishwasher, Crown Molding, Patios/Decks",0
2,"Very good condition Ikea Beddinge sleeper sofa frame, back adjusts to 3 different positions, clean and in good working order, ready for pickup in San Leandro or I can deliver locally (gas $ helps!) ... Thanks!",1
3,"2005 Acura TL - has type S wheels - 99,832 miles - timing belt & water pump already replaced. Has clear coat peeling in some areas.",0
4,"Runs very well no Problems,Well maintenance always serviced on time recently had the transmission replaced. have all records in hand smog passed with flying colors, Top of the line Model Lather",1
5,"Mid Century solid teak dining table, made by Gudme Mobelfabrik, a danish furniture maker. Marching cross legs provide an extremely solid feel. Refinished, stripped, sanded, oiled and waxed. Also comes with glass table top for extra protection.",1
6,"Adorable 3 Bedroom 2 1/2 Bathroom Pittsburg home in court location. Large Master with walk-in closet, double sinks and oversized shower. Low maintenance yard, Washer/Dryer Hook-up in garage, Gas range, Dishwasher and Microwave. (Although in photos.. Refrigerator is not included.) Very desirable location walking distance to several restaurants, parks, Pittsburg marina front and lots of activities including Farmers Market, Seafood Festival, Jazz Festival, Car Shows, Hot August Nights, etc.",1
7,"Picture - perfect Union City townhome nestled in the Pacific Terrace community. This home flows beautifully with cathedral ceilings, recessed lighting, arched walls, dual paned windows and a built-in laundry. The kitchen has a gorgeous granite slab, stainless appliances and built in compactor. Use of the community pool, clubhouse and playground is included. Walk to Bart, park and shops. COMMUTER'S PARADISE... WALK TO BART Address is 1049 Moonstone 2.5 bathrooms",1
8,"Redline proline micro mini BMX (18"" wheel size) complete and ready to ride as pictured with lots of extra tire tubes, and one spare 18x1 tire and extra mini handle bar. 250.00. Sun 18"" wheelset with trail tires for micro mini 100.00",0
9,"4"" square speaker no grill great sound 14""by 14"" by 5""",0
10,Im selling my Kicker 10 inch sub with a sealed box and a American Pro amplifier. Nice clean setup. I paid a little over 300 for the setup so Nothing less than 100 bucks. Not splitting up the set. Great deal and more than a fair price.,0
11,"This glass shelf is 32"" x 19 1/2"". It has a groove to display plates, if desired. It is in excellent condition. Please let me know if you are interested.",0
12,"Made by Thomas. In good condition. It is missing a small trim piece but works fine, model BD 109. Call or email.",1
13,Selling my kicker vr subs in factory ported enclosure. Wired at one ohm. These subs hit hard. Price is FIRM. NOTHING LESS THAN 165. NO TRADES. Also have a 1000 watt rms amp (sonido mask) for 135 bucks extra.,0
14,2004 Lexus is 300 4 brand new tires Clean title Passed smog 2/11/17 Lexus used car inspection attached,0
15,"Diamondback kids bicycle (girls). Size: 20 inches. Color: Black Used, but the kids have outgrown it. Sturdy steel frame and fork are built to handle the rigors of riding",0
16,Beautiful 3 bedroom and 1.5 bathroom (full bathroom downstairs and half in upstairs loft). Spacious living room. Dining room and wet bar. New upgrades throughout. Bonus upstairs loft can be used as an office or extra craft room. Gorgeous sun room with many windows for lot of light and hang outs. 1640 sq ft of living space. Quiet neighborhood and easy access to main transportation. NO SECTION 8. NON SMOKERS. NO PETS. AVAILABLE TO VIEW 05/31.,0
17,"Welcome To The Terraces, El Sobrante's hidden gem! Call Now: The Terraces 6000 Sun Hill Circle Come home after a productive day, only minutes from major freeways yet secluded on a hillside oasis surrounded by trees. Park in your reserved parking space inside our gated community. Glimpse the scenic valley from your personal balcony before entering your spacious two bedroom unit-- your personal sanctuary. Relax in our year round heated hot tub. Our convenient location in El Sobrante is just minutes from fine dining, shopping, schools and recreation. Enjoy a lifestyle that is minutes from Sausalito, Tiburon, San Francisco, and the beautiful wine country of Napa, Sonoma and Mendocino. washer and dryer Dishwasher, garbage disposal, refrigerator and gas stove Radiant Heat Wood Burning Fireplace New flooring",1
18,This is a SOMA Doublecross with a great touring/hybrid setup. It has a Ritchey Carbon fork and King headset. Shimano Ultegra gear set and derailleurs. The Mavic CXP wheelset is two months old and has fresh continental touring plus tires. I just road it across Oregon and it performed beautifully. The pedals are hybrid mountain SPD clip pedals. The bike does not include the Cateye system.,1
19,Everything is Brand New Home With Nice Yard !! It's simply an excellent deal for what you're getting. This is one of the nicer homes in the area at a price that can't be beat.,0
20,"Cannondale Ironman 800 Tri Bike Specs: This is a well maintained tuned by pro mechanic, light and efficient race bike for Multisport (Duathlon/Triathlon) or Time Trialing. This is a Cannondale CAAD5 frameset, Truvative, Shimano, Ultegra components, Aero Carbon Slice Si fork, Mavic CXP221 wheelsets. The bike has SPD compatible pedals, a specially designed time-trial saddle on a custom forward seat post, dual saddle mounted drink cages and bar-end gear levers for aerodynamics. The frame is 52cm (top tube) which would normally suit anyone from 4'8'"" to 5'8"". Setup as a time-trial bike, with the adjust ability in the handlebar height, seat height and position, and aerobar length is perfectly fine all the way up to at 5'8"".",1
21,"Perfect condition, not a single scratch. The drone seen very little flying time, maybe as little as 5 - 10 times. All related accessories (props, charger, cables, etc) Original carry case",1
22,"Ease and elegance. This clean compact settee combine refined shape with easy-care machine washable slipcover in an off white. Distinctive rolled arms and turned front legs. Legs have a coffee bean finish. Kiln -dried hardwood frame, sinuous wire spring suspension.",0
23,Brand new photos up! Available now! Year Lease,1
24,"Hi, I'm selling a New! Boston Acoustics A 2310 HTS 5.1 Home Theater Speaker Package with 100-Watt Powered Subwoofer (Gloss Black) Scratch-resistant high-gloss finish with contrasting ""leatherette"" accents for stunning good looks. Boston's 1-inch Kortec soft dome tweeter deliver smooth, extended high frequency response.",0
25,*Private bath *Fresh new look * very near to Emeryville Bay Street * West MAcArthur Bart 8 - 10 blocks away,1
26,This Brother inkjet mfc printer scanner fax machine is in excellent condition and needs to go asap. Bought a new laser printer . Printer is in the box,1
27,(4) surround speakers. I am a motivated seller and want to sell the entire package. I will give the person who buys the TV and Sony system the following added value items:,1
28,Subs are in mint condition with new surrounds professionally done. Dual 2 ohms each. Price is 200 no amp or 350 with 600 real watt amp. No lowball offers. No trades. Firm price.,1
29,"2011 Dodge Charger V6 3.6L automatic transmission with new 20"" rims and tires with only 87000 miles salvage title only the roof dent and 3 windows was the reason made salvage I have pictures to probe everything still like new conditions runs excellent any question feel free to call any time or text to my cell phone",1
30,"2002 GMC Sierra Z71,5.3L, 4X4, New transmission with receipt, 2nd owner, 141K miles excellent interior with new Alpine bluetooth deck, power windows, Fabtech Lift less then three years old, Procomp wheels with 35in Goodyear tires. The truck is in great shape. Known issues:",1
31,I am selling my 2016 e-Joe Sport Edition. The bike is virtually like new always kept indoors and never washed. It has been charged and has ridden just to maintain battery. I thought my wife would take it to the store some times instead of driving the V8 SUV. Not,0
32,I'm selling my MTX 1501d subwoofer amp. This is a no joke amp that does REAL power. 750 watts rms at 4 ohm and 1500 watts rms at 2 ohms. Underrated as well. It's a beast and I'm really not trying to sell it but I don't really have a need for this much power. No lowball offers wanted or trades. Only respond if you have cash in hand ready to buy.,1
33,"Great city bike for a female, seat can be adjusted for heights from about 5'3 - 5'7",0
34,"Please include PHONE # in reply! NEW in box; color: Artic white, model#: TAD2014AW - Remote operation",1
35,"I have about 36 of these, firm price unless you buy more than 4",0
36,"2008 Chevy Impala Well maintained , extra clean, all tune ups done, chrome wheels, Smog is done too, valid registeration",0
37,"3 Speed Delivery Bike year 2008 made by Batavus bike is like brand new valued at 1,200.00 black call for all details to much to list. Lights front and rear great front and back racks for carrying grocery items comfortable seat",1
